"date","event_number","ship","cruise_ID","Tioga_data_at_WHOI_DLA","Tioga_data_at_WHOI_DLA_alternate","ADCP","underway","CTD","Niskin_samples","bucket_sample","bongo_or_other_net","comment"
2020-08-21,"MVCO_432","Tioga","ti1119","https://dlacruisedata.whoi.edu/tioga/cruise/ti1119/","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1119/","Yes","Yes","Yes","Yes","Yes","Unknown",NA
2020-09-08,"NA","Tioga","ti1121","https://dlacruisedata.whoi.edu/tioga/cruise/ti1121","http://dlacruisedata.whoi.edu/tioga/cruise/ti1121","Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2020-09-24,"MVCO_433","Tioga","ti1125","https://dlacruisedata.whoi.edu/tioga/cruise/ti1125","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1125/","No","Yes","Yes","Yes","Yes","Yes","LTER participants included Sarah Glancy; notable ctenophores bongo"
2020-10-15,"MVCO_434","Tioga","ti1130","https://dlacruisedata.whoi.edu/tioga/cruise/ti1130","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1130/","Yes","Yes","Yes","Yes","Yes","Unknown","some CTD sensors had caps left on"
2020-10-21,"NA","Tioga","ti1132","https://dlacruisedata.whoi.edu/tioga/cruise/ti1132","http://dlacruisedata.whoi.edu/tioga/cruise/ti1132","No","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2020-11-19,"MVCO_435","Tioga","ti1136","https://dlacruisedata.whoi.edu/tioga/cruise/ti1136","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1136/","Yes","Yes","No","No","Yes","Unknown","although there is a folder for CTD data the wire termination was damaged; LTER participants Emily Peacock and Alexi Shalapyanok"
2020-12-11,"MVCO_436","Tioga","ti1139","https://dlacruisedata.whoi.edu/tioga/cruise/ti1139","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1139/","No","Yes","Yes","Yes","Yes","Unknown",NA
2021-04-06,"MVCO_437","Tioga","ti1153","https://dlacruisedata.whoi.edu/tioga/cruise/ti1153","https://dlacruisedata.whoi.edu/TI/2010_to_present/all/ti1153/","No","Yes","Yes","Yes","Yes","Yes","LTER participants include Sarah Glancy"
2021-04-20,"MVCO_438","Tioga","ti1159","https://dlacruisedata.whoi.edu/tioga/cruise/ti1159/","?","No","Yes","No","No","Yes","Unknown",NA
2021-05-13,"MVCO_439","Tioga","ti1164","https://dlacruisedata.whoi.edu/tioga/cruise/ti1164/","?","Yes","Yes","No","No","Yes","No",NA
2021-05-14,"MVCO_440","Tioga","ti1165","https://dlacruisedata.whoi.edu/tioga/cruise/ti1165/","?","No","Yes","No","No","Yes","No",NA
2021-06-30,"MVCO_441","Tioga","ti1176","https://dlacruisedata.whoi.edu/tioga/cruise/ti1176/",NA,"No","Yes","No","No","Yes","Unknown","LTER participants include Emily Peacock"
2021-07-15,"MVCO_442","Tioga","ti1183","https://dlacruisedata.whoi.edu/tioga/cruise/ti1183/",NA,"No","Yes","No","No","Yes","Unknown",NA
2021-07-29,"MVCO_443","Tioga","ti1187","https://dlacruisedata.whoi.edu/tioga/cruise/ti1187/",NA,"No","Yes","Yes","Yes","Yes","Unknown","LTER participants include Emily Peacock"
2021-08-13,"MVCO_444","Tioga","ti1194","https://dlacruisedata.whoi.edu/tioga/cruise/ti1194/",NA,"No","Yes","No","No","Yes","Unknown",NA
2021-08-16,"MVCO_445","Tioga","ti1195","https://dlacruisedata.whoi.edu/tioga/cruise/ti1195/",NA,"No","Yes","No","No","Yes","Unknown","CTD broken"
2021-08-31,"MVCO_446","Tioga","ti1199","https://dlacruisedata.whoi.edu/tioga/cruise/ti1199/",NA,"No","Yes","No","No","Yes","Unknown",NA
2021-09-01,"NA","Tioga","ti1200","https://dlacruisedata.whoi.edu/tioga/cruise/ti1200/",NA,"Yes","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER"
2021-09-14,"MVCO_447","Tioga","ti1202","https://dlacruisedata.whoi.edu/tioga/cruise/ti1202/",NA,"No","Yes","No","No","Yes","Unknown","No time for CTD"
2021-09-29,"MVCO_448","Tioga","ti1206","https://dlacruisedata.whoi.edu/tioga/cruise/ti1206/",NA,"No","Yes","Yes","Yes","Yes","Yes","CTD data collected with wrong xmlcon file; LTER participants include Taylor Crockford, Julia Cox"
2021-10-08,"NA","Tioga","ti1209","https://dlacruisedata.whoi.edu/tioga/cruise/ti1209/",NA,"No","Yes","No","NotApplicable","NotApplicable","NotApplicable","project other than NES LTER; underway SBE45 and FLR data bad"
2021-11-04,"MVCO_449","Tioga","ti1213","https://dlacruisedata.whoi.edu/tioga/cruise/ti1213/",NA,"No","Yes","No","No","Yes","Unknown","underway SBE45 and FLR data bad"
2021-11-10,"MVCO_450","Tioga","ti1217","https://dlacruisedata.whoi.edu/tioga/cruise/ti1217/",NA,"No","Yes","No","No","Yes","Unknown","underway SBE45 and FLR data are no good; Sosik lab logsheet has incorrect date 11/8/21; LTER participants include Bethany Fowler"
2021-12-08,"MVCO_451","Tioga","ti1223","https://dlacruisedata.whoi.edu/tioga/cruise/ti1223/",NA,"No","Yes","No","No","Yes","Unknown",NA
2021-12-20,"MVCO_452","Tioga","ti1229","https://dlacruisedata.whoi.edu/tioga/cruise/ti1229/",NA,"No","Yes","Yes","Yes","Yes","Yes","LTER participants include Emily Peacock and Julia Cox"
2022-01-25,"MVCO_453","Tioga","ti1230","https://dlacruisedata.whoi.edu/tioga/cruise/ti1230/",NA,"No","Yes","Yes","Yes","Yes","Yes","Sosik lab logsheet has incorrect date 1/24/22; LTER participants include Emily Peacock"
2022-01-27,"MVCO_454","Tioga","ti1232","https://dlacruisedata.whoi.edu/tioga/cruise/ti1232/",NA,"No","Yes","No","No","Yes","Unknown",NA
2022-03-04,"MVCO_455","Tioga","ti1240","https://dlacruisedata.whoi.edu/tioga/cruise/ti1240/",NA,"No","Yes","Yes","Yes","Yes","Unknown","folder for adcp data appears to lack raw data"
2022-04-05,"MVCO_456","Tioga","ti1245","https://dlacruisedata.whoi.edu/tioga/cruise/ti1245/",NA,"Yes","Yes","Yes","Yes","Yes","Yes","LTER participants include Taylor Crockford"
2022-04-26,"MVCO_457","Tioga","ti1250","https://dlacruisedata.whoi.edu/tioga/cruise/ti1250/",NA,"No","Yes","No","No","Yes","Unknown",NA
2022-05-06,"MVCO_458","Tioga","ti1252","https://dlacruisedata.whoi.edu/tioga/cruise/ti1252/",NA,"No","Yes","No","No","Yes","Unknown",NA
